Initiative Record ID#,Initative Type,Marketing Projects Record ID#,Page Name,Website,Priority,Assigned To,Initiative CF Status,Content Lauch Date,CF Required Completion Date,CF Actual Start Date,Duration,CF Projected Completion Date,CF Actual Completion Date,Days Overdue,ULDs Req.,ULDs Total Sent to CF  (Queued),ULDs Total Sent to CF (Deficit) or Overage,Contacts Req. For EM,Links Req.,Contacts Total Harvested,Contacts Total Harvested (Deficit) Overage,# of Campaigns,Campaigns,Add Campaign,Contact Finding: History/Notes/Issues,Initiative Email Marketing Status,Email Marketing Projected Send Date,Email Marketing Actual Send Date (Start),Email Marketing Actual Send Date (Completion),Total # Email Sent,Sent Email (Deficit) Overage,Campaign - Total Projected Links From Email Sent,Total # of Links Built,Email Marketing: History/Notes/Issues,Total Projected Links Built To Date,Projected Conversion % - To Date,Actual Conversion %,Performance - Links Builts Vs. Projected to Date,Total ULD Built,Total Actual Contacts Harvested (Ref Only)
857,RMI,874,South Carolina,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",991,"-1,675.6666666667","1,481.4814814815",10,"1,361",-120.48148148148,4,857,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=857&z=bgfb,,Complete,,02-17-2016,05-09-2016,2323,841.51851851852,17.4225,22,,16.77338025,0.72205683383556%,0.94705122686182%,5.22661975,18,1361
858,RMI,875,South Dakota,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",470,"-2,196.6666666667","1,481.4814814815",10,857,-624.48148148148,4,858,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=858&z=bgfb,,In Progress,,02-29-2016,,1295,-186.48148148148,9.7125,4,,9.30630525,0.7186336100386%,0.3088803088803%,-5.30630525,4,857
859,RMI,876,Tennessee,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1735,-931.66666666667,"1,481.4814814815",10,"2,198",716.51851851852,4,859,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=859&z=bgfb,,Complete,,02-29-2016,05-09-2016,3857,"2,375.5185185185",28.9275,19,,27.6884025,0.71787406015038%,0.49261083743842%,-8.6884025,17,2198
860,RMI,877,Texas,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,In Progress,,,04-12-2016,7,04-21-2016,,,"33,333.333333333",6360,"-26,973.333333333","18,518.518518519",125,"13,451","-5,067.5185185185",5,860,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=860&z=bgfb,,Complete,,02-03-2016,05-09-2016,"18,897",378.48148148148,141.7275,102,,137.106819,0.7255480711224%,0.53976821717733%,-35.106819,78,"13,451"
861,RMI,878,Utah,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",344,"-2,322.6666666667","1,481.4814814815",10,644,-837.48148148148,4,861,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=861&z=bgfb,,In Progress,,02-29-2016,,965,-516.48148148148,7.2375,7,,6.93182325,0.71832365284974%,0.72538860103627%,0.06817675000000,6,644
862,RMI,879,Vermont,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",498,"-2,168.6666666667","1,481.4814814815",10,808,-673.48148148148,4,862,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=862&z=bgfb,,In Progress,,03-01-2016,,1163,-318.48148148148,8.7225,2,,8.3791455,0.7204768271711%,0.1719690455718%,-6.3791455,2,808
863,RMI,880,Virginia,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",2138,-528.66666666667,"1,481.4814814815",10,"2,641","1,159.5185185185",4,863,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=863&z=bgfb,,Complete,,02-17-2016,05-09-2016,4608,"3,126.5185185185",34.56,37,,33.25526325,0.72168540039062%,0.80295138888889%,3.74473675,28,2641
864,RMI,881,Washington State,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",973,"-1,693.6666666667","1,481.4814814815",10,"1,715",233.51851851852,4,864,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=864&z=bgfb,,Complete,,03-01-2016,05-09-2016,2546,"1,064.5185185185",19.095,20,,18.31504125,0.71936532796544%,0.78554595443833%,1.68495875,17,1715
865,RMI,882,West Virginia,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",253,"-2,413.6666666667","1,481.4814814815",10,487,-994.48148148148,4,865,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=865&z=bgfb,,In Progress,,03-01-2016,,713,-768.48148148148,5.3475,2,,5.1275565,0.71915238429173%,0.2805049088359%,-3.1275565,2,487
866,RMI,883,Wisconsin,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1105,"-1,561.6666666667","1,481.4814814815",10,"2,249",767.51851851852,4,866,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=866&z=bgfb,,Complete,,03-01-2016,05-09-2016,3223,"1,741.5185185185",24.1725,21,,23.139798,0.71795836177474%,0.65156686317096%,-2.139798,16,2249
